Personnage,Réplique
LÉODAGAN,Il a qu’il y en a pas ! On tourne à la flotte…
ARTHUR,C’est pourtant vrai…
DAME SÉLI,Faites pas comme si vous étiez pas au courant !
LÉODAGAN,Au courant de quoi ?
GUENIÈVRE,Bah… les paysans !
ARTHUR,Quoi « les paysans » ?
GUETHENOC,Faut avoir drôlement du cran pour venir jusqu’ici vu comment vous nous traitez !
LÉODAGAN,Parce que vous croyez peut-être qu’on va se mettre à trembler devant votre équipe de clodos ?
GUETHENOC,Il y a de la grillade de bourgeois qui se prépare ! Faudra pas faire les étonnés !
LÉODAGAN,Vous êtes jamais contents !
GUETHENOC,Le boulot est trop dur !
ROPARZH,On se bousille la santé ! On est obligés d’embaucher des extras !
ARTHUR,Ben voyons ! Elle répond pas parce que c’est une esclave !
GUETHENOC,Une esclave… tout de suite…
LÉODAGAN,Mais de quoi je me mêle ?
ARTHUR,De moins en moins !
ROPARZH,Rentrez dans votre château et barricadez-vous !
GUETHENOC,Attendez-vous à de la visite !
LÉODAGAN,Bon Dieu de pécores !
LÉODAGAN,Eh ben qu’ils se pointent. Ils vont être reçus.
ARTHUR,Ils revendiquent… ils revendiquent des conneries !
LÉODAGAN,Si vous croyez qu’on s’est occupés de ça !
ARTHUR,Ils ont pas été attaqués depuis des mois !
LÉODAGAN,Ah bah merde ! Ils ont les deux tiers du pays ! Il faut quand même pas pousser !
GUETHENOC,Des terres ? On n’est déjà pas assez pour s’occuper de celles qu’on a !
LÉODAGAN,Alors quoi ?
PERCEVAL,On pourrait faire un Sloubi !
KARADOC,Je connais pas.
PERCEVAL,Je vous explique ! Il y en a pour deux secondes.
KARADOC,Oh Tavernier ! Vous faites une partie ?
PERCEVAL,Bon ben ça fait rien. On joue avec les dés.
KARADOC,Ben c’est vous ! Vous avez fait huit cent je-sais-pas-combien…
KARADOC,Mais… et le reste ?
PERCEVAL,Quel reste ?
PERCEVAL,Trois cent vingt-cinq.
KARADOC,Ah ouais.
KARADOC,Stop !
KARADOC,Sloubi !
KARADOC,Je sais plus compter après cent seize.
PERCEVAL,… ça contient le résultat entre seize et cent seize.
GAUVAIN,Alexandre le Grand ! Ne connaissez-vous point ce Roi légendaire ?
PERCEVAL,C’est ce que je vous dis : je le connais pas ! Moi je dis qu’on devrait fêter la mort des mecs qu’on connaît tous !
GALESSIN,C’est vrai qu’on arrête pas de bouffer…
ARTHUR,Allez-y.
BOHORT,« A-le-xan-dre trois de Ma-cé-doi-ne le Grand. » Ça fait douze pieds.
LÉODAGAN,Vous croyez pas qu'on a autre chose à foutre ?
LÉODAGAN,DE POMMIERS IL ME SEMBLE…
YGERNE,Alors quoi ?
DAME SÉLI,On peut savoir ce que vous glandez ici à cette heure ?
LÉODAGAN,Je viens boulotter un morceau ! Je vois pas ce que ça a de paranormal !
DAME SÉLI,Arrêtez immédiatement de me prendre pour une truite ! Qu’est-ce que vous maquillez ?
LÉODAGAN,Rien.
DAME SÉLI,Rien ?
LÉODAGAN,Parole d’homme.
DAME SÉLI,Vous êtes en train de me monter un char et je vous préviens que je suis pas d’humeur ! Alors vous m’expliquez pourquoi vous rasez les murs comme un évadé de cachot ou vous prenez ma main dans le pif !
DAME SÉLI,Ce que vous manigancez de près ou de loin me concerne toujours. C’est une chose qui se passe de vos appréciations !
DAME SÉLI,C’est concis mais je m’y retrouve. Poursuivez.
DAME SÉLI,J’ai pas les chiffres en tête…
DAME SÉLI,Alors quoi ?
DAME SÉLI,Vous piquez le blé du Royaume ?
DAME SÉLI,C’est pourtant pas faute d'avoir cherché…
ARTHUR,Il y a quelqu’un ?
ARTHUR,Tiens ! Cæsar et Cléopâtre !
LÉODAGAN,Vous voulez dire… l’alcool de pomme qu’il y a dans le placard ?
LÉODAGAN,Non mais vous allez pas prendre de l'alcool de pomme à cette heure-ci !
ARTHUR,Ça reste à voir… (l’idée lui venant) Tiens ! Je vais y mettre du clou de girofle ! Il paraît que ça agit !
DAME SÉLI,Le repos.
ARTHUR,Chut !
PERCEVAL,J'ai rien dit !
ARTHUR,La ferme !
PERCEVAL,Mais qu’est-ce qu’il y a ?
PERCEVAL,Quel code ?
ARTHUR,Le code des éclaireurs.
ARTHUR,Le code c’est… le code.
PERCEVAL,Il y a du grabuge alors on appelle les deux couillons !
PERCEVAL,On met les glandus à profit !
ARTHUR,Ah merde…
PERCEVAL,Quel code ?
LANCELOT,Vous apprendre le code ?
KARADOC,Et alors ?
PERCEVAL,On n’est pas spécialement plus cons que les éclaireurs !
ARTHUR,On va commencer par un exercice simple. Prenez vos bouts de bois.
PERCEVAL,Mais c’est vous qui me demandez !
ARTHUR,Je repose la question.
LANCELOT,Vous répondez en tapant sur le bout de bois !
PERCEVAL,Oui mais j’aime pas les harengs.
LANCELOT,Bon Dieu mais c’est pas vrai !
ARTHUR,Vous le faites exprès ?
PERCEVAL,Vous me dites « répondez en tapant » !
LANCELOT,Évidemment que non !
ARTHUR,Est-ce que vous avez bien mangé à midi ?
KARADOC,Mais il faut que ça veuille dire des trucs ?
KARADOC,Ah…
ARTHUR,On reprend : est-ce que vous avez bien mangé à midi ?
LANCELOT,Vous avez bien mangé ?
KARADOC,Non.
ARTHUR,Eh ben ?
KARADOC,Mais c’est pas moi qui suis aux cuisines ! Qu’est-ce que j’y peux ?
KARADOC,Un dernier petit essai pour la route !
PERCEVAL,Les framboises sont perchées sur le tabouret de mon grand-père ?
PERCEVAL,Non mais il y a pas de raison qu’on soit dans la merde…
BOHORT,Un vacarme assourdissant dans la chambre de Venec m’empêche de trouver le sommeil !
BOHORT,Je tape à sa porte pour lui dire de stopper ; savez-vous ce que cet énergumène trafique ?;
ARTHUR,Non.
BOHORT,Des combats de chiens !
ARTHUR,Des combats de chiens… dans sa chambre ?
BOHORT,Exactement ! Et les fiers Chevaliers de notre belle Table Ronde s’en donnent à cœur joie !
ARTHUR,Allez me le chercher.
ARTHUR,Qu'est-ce que c'est que ça ?
BOHORT,Mais bien sûr ! Faites comme chez vous ! On pourrait aussi vous donner un double de la salle des coffres !
BOHORT,Vous allez peut-être prétendre que c’est pas vrai ?
ARTHUR,C’est vrai que vous manquez pas de souffle !
VENEC,Mais c’est entre amis ! Il paraît que c’est toléré quand c’est entre amis !
ARTHUR,Parce que les combats sont truqués ?
VENEC,Une semaine ! Allez Sire !
ARTHUR,Deux.
GUENIÈVRE,« La réunion des Dames des Chevaliers de la Table Ronde. »
ARTHUR,Et vous n'avez rien d'autre à foutre ?
ARTHUR,Mais pour faire quoi ?
ARTHUR,Mais dans quel but ?
GUENIÈVRE,Exactement.
DAME SÉLI,Vous allez pas inviter votre bonniche ?
ANGHARAD,Ça promet…
GUENIÈVRE,C'est pas parce qu’on ne la jamais vue qu’il n'en a pas !
ANGHARAD,C’est quand même un signe…
GUENIÈVRE,Mais je ne vois pas ce qui vous autorise à dire une chose pareille !
BOHORT,Qui ne séduirait-elle pas ? Je trouve l’initiative parfaitement charmante ! Je vais d’ailleurs aller trouver le Roi et lui demander de vous autoriser l’accès à la Table Ronde !
DAME SÉLI,Et aux écuries ? Vous avez le droit d’y aller ?
BOHORT,Heu… ma femme ? C’est-à-dire que… ma foi pourquoi pas ? C’est un projet qui s'étudie…
GUENIÈVRE,Votre femme n'est jamais venue au château ?
BOHORT,Ah bon ?
GUENIÈVRE,Ah bon ?
DAME SÉLI,Je me trompe ?
DAME SÉLI,Il faudra que ça le soit. Ordre du Roi.
BOHORT,Ah bon ?
GUENIÈVRE,Ah bon ?
BOHORT,Mais depuis quand ?
DAME SÉLI,Depuis que je vais lui demander.
BOHORT,Vous m'avez fait demander ?
GUENIÈVRE,Eh bien oui… La réunion des femmes de Chevaliers a eu lieu… Je me faisais une joie de rencontrer votre épouse…
GUENIÈVRE,Elle n’a pas pu venir ?
DAME SÉLI,Alors que c’était obligatoire ?
BOHORT,Elle est arrivée tard dans la nuit…
GUENIÈVRE,Et on peut aller la saluer dans votre chambre ?
BOHORT,Elle n’est malheureusement pas en état de recevoir…
BOHORT,Je n’y manquerai pas.
BOHORT,OUI…
BOHORT,De longues nuits de solitude où mes pensées s’envolent vers notre maison…
LÉODAGAN,J’ai pas envie d’expliquer le pourquoi du comment… Je pense que si on balance le blé dans les bals…
BOHORT,Mais je ne parle pas de bals ! Il s’agit de mettre en place une troupe d'artistes danseurs permanente qui puisse faire démonstration des danses traditionnelles bretonnes et…
BOHORT,Je ne parlerai pas de l’aspect esthétique de la chose : des plages magnifiques dont l’horizon est maintenant cisaillé par ces énormités !
BOHORT,Ho mais la sécurité se porte bien. Même un crabe n’a aucune chance de franchir les lignes !
LÉODAGAN,Ça prouve que je fais mon boulot.
ARTHUR,Oui mais il me semble que la pénurie s’étend aussi aux pays voisins !
LÉODAGAN,Vous vous foutez de moi ?
BOHORT,Mais pourquoi ?
ARTHUR,Parce que j’aime pas la danse.
GUETHENOC,Et s’il me demande pourquoi il y a plus de bois ?
GUETHENOC,Vous obliger ? Mais c’est pas vous le taulier ? On peut vous obliger à faire des trucs ?
ARTHUR,Les facteurs sont multiples…
ARTHUR,Quoi ?
ARTHUR,Vous êtes chez vous tout à l’heure ?
GUETHENOC,Heu… ça dépend…
GUETHENOC,Démonter ma baraque ?
ARTHUR,C’est surtout que je vous l'avais pas dite. J’avais peur que vous rasiez toutes les cabanes du pays.
GUENIÈVRE,C’est vous ?
ARTHUR,Ouais.
GUENIÈVRE,Je me demandais où vous étiez…
ARTHUR,J’étais là.
ARTHUR,J'étais là.
ARTHUR,Quand j’ai les crocs.
GUENIÈVRE,Et vous êtes toujours tout seul ou des fois il y a des gens ?
GUENIÈVRE,Vous avez raison. On est encore bien mieux tous seuls !
GUENIÈVRE,Mais vous qui venez souvent…
GUENIÈVRE,Vous avez sûrement dû remarquer !
ARTHUR,Quoi donc ?
ARTHUR,Mais quoi ?
ARTHUR,Les couples ? Quels couples ?
GUENIÈVRE,Il paraît.
ARTHUR,Ah bon.
GUENIÈVRE,Il paraît même qu’ils font des choses là-dessus !
GUENIÈVRE,Vous n’avez jamais entendu parler de ça ?
ARTHUR,Non.
GUENIÈVRE,Mais ça ne vous intrigue pas ?
ARTHUR,Ah non.
ARTHUR,Où ça ?
GUENIÈVRE,Ici ! On se cache et on attend pour voir si quelqu’un arrive !
ARTHUR,Oh non mais vous rigolez ?
GUENIÈVRE,Pour me faire plaisir !
ARTHUR,Mais pas pour reluquer les serviteurs qui se tripotent au milieu des jambons !
GUENIÈVRE,Allez allez allez allez allez allez allez…
GUENIÈVRE,Hé mais vous endormez pas !
ARTHUR,Hein ?
ARTHUR,Non mais il y a de l’abus…
GUENIÈVRE,Mais non ! Encore une petite heure et on retourne se coucher…
ARTHUR,Une petite heure !
KARADOC,Il est jamais trop tard pour prendre du bon temps !
ARTHUR,Qu’est-ce que vous faites ?
GUENIÈVRE,Ben… je sais pas…
KARADOC,Terrine de lièvre aux morilles avec morceaux de châtaignes et foies confits !
DAME MEVANWI,On peut pas aller se coucher ?
DAME MEVANWI,Chut !
KARADOC,Quoi ?
DAME MEVANWI,Vous avez pas entendu ronfler ?
KARADOC,Ronfler ?
CALOGRENANT,Figurez-vous que j’ai quand même autre chose à faire !
ARTHUR,Allez hop ! Debout !
BOHORT,Sire ? Mais que se passe-t-il ?
ARTHUR,Il se passe que c’est l’heure ! Mettez vos miches dans vos vêtements et on y va !
BOHORT,Mais on va où ça ?
ARTHUR,Dans la cour pour votre entraînement !
BOHORT,Mais… mon entraînement de quoi ?
BOHORT,Vous cherchez quelque chose ?
ARTHUR,Votre épée !
BOHORT,Mon épée ? Mais elle n’est pas là !
ARTHUR,Pas là ? Un Chevalier ne reste jamais loin de son épée !
BOHORT,Mais je vais pas garder une épée dans ma chambre ! Et si je me coupe ?
BOHORT,Ah bon…
ARTHUR,Quoi « ah bon » ?
BOHORT,Ben vous me dites « les distances »…
ARTHUR,Les distances de combat !
BOHORT,Évidemment…
BOHORT,Mais Sire !
ARTHUR,Non mais voilà ! Il y a rien de tel que l’exemple ! Votre position n’est pas sécurisée.
BOHORT,Mais vous auriez pu me le dire !
ARTHUR,De quoi « c'est quoi » ? Je vous donne un coup de pied !
BOHORT,Un coup de pied dans le buste ? Mais c’est de la folie ! La douleur doit être atroce !
ARTHUR,Vous voulez pas apprendre au moins une parade de coup de pied ? Ou de coup de poing ?
ARTHUR,Vous êtes prêt ?
BOHORT,Je ne sais pas…
ARTHUR,Allez hop !
BOHORT,Sire ! Sire ! Répondez-moi ! Je ne voulais pas… Je suis un misérable !
LANCELOT,Seigneur Léodagan ?
LÉODAGAN,Tiens ! Vous êtes là ?
LANCELOT,Oui… enfin c’est surtout vous qui êtes là.
LANCELOT,Vous passiez voir quoi ?
LANCELOT,Parfaitement.
LANCELOT,Oui…
LANCELOT,Tout roule. Si ça peut vous rassurer.
LANCELOT,Ah bon ?
LÉODAGAN,Et vous partez en mission tout seul.
LÉODAGAN,Très bien.
LANCELOT,Il vous fallait autre chose ?
BOHORT,Je voyais ça moins sauvage… Plus…
LÉODAGAN,Plus quoi ?
BOHORT,Je sais pas… moins sauvage.
LANCELOT,Si si.
LANCELOT,Trop aimable.
LANCELOT,Ça dépend des jours.
LANCELOT,Formidable !
LANCELOT,Non mais j’ai rien dit…
LANCELOT,Un véritable havre de paix.
LÉODAGAN,Tiens ! Regardez qui c’est qu’est là !
GUENIÈVRE,Vous m’aviez pas dit que vous veniez !
BOHORT,Ni plus ni moins.
LÉODAGAN,On est quand même mieux là qu’à se prendre des coups de pied dans les noix !
GUENIÈVRE,Non et puis c'est vraiment un bel endroit.
ARTHUR,Telluriques.
BOHORT,Voilà.
ARTHUR,Et un peu en contrepartie du fait que vous et votre mari vivez à mes crochets depuis des années…
DAME SÉLI,Que nous avons rattaché à la suprématie de Kaamelott sans aucune hésitation.
ARTHUR,Vous octroyant par conséquent la légitimité de vivre à mes crochets.
ARTHUR,Non.
DAME SÉLI,Ils se battent avec des serviteurs.
ARTHUR,D’en organiser deux ?
DAME SÉLI,Les Chefs de Guerre du continent… Ça promet des nuits paisibles !
BOHORT,Encore une réunion de dégénérés mentaux !
BOHORT,Les dernières tactiques pour pulvériser son voisin ! C’est très enrichissant !
ARTHUR,Quoi ? Où ça ?
LÉODAGAN,À son bal pourri !
LÉODAGAN,Évidemment que non ! Mais c’est le principe…
BOHORT,Mais qu’est-ce que c’est que cette nouveauté ?
DAME SÉLI,J’avoue que suis perdue…
ARTHUR,Moi aussi.
BOHORT,Je vous ferai remarquer que je n’ai pas reçu d’invitation pour votre exposition de pervers !
LÉODAGAN,Vous ? À l’Exposition des Armes de Jet ?
PERCEVAL,C’est là.
KARADOC,Ouais. mais justement ! Comment ça se fait qu’on tombe dessus direct ?
PERCEVAL,Parce qu’il nous a bien explique !
PERCEVAL,Vous croyez ?
KARADOC,Vous voulez quand même tenter ?
KARADOC,Non mais ho ! Ça va durer jusqu’à quand ce traquenard ?
PERCEVAL,Mais ça va là ! Il y a personne !
KARADOC,Mais c’est le coup fourré ultime ! Ça fait trois quarts d’heure qu’on marche comme des cons sans trouver personne !
KARADOC,Quelle énigme ?
KARADOC,Vous êtes sûr ?
PERCEVAL,Mais c'est évident ! C’est pour ça qu’il y a personne sur le chemin ! (désignant sa tête)
PERCEVAL,Ouais ! Faites pas trop les malins parce que ça pourrait chier des bulles dans pas longtemps !
PERCEVAL,Allez crever !
PERCEVAL,Il faudra vous trouver d’autres couillons pour vos magouilles pourries !
KARADOC,Merde !
PERCEVAL,Ils nous suivent ou pas ?
PERCEVAL,Fumiers !
KARADOC,Allez foncez ! C’est notre dernière chance !
PERCEVAL,On a failli tomber dans le panneau comme des bleus !
PERCEVAL,J’ai ma chemise mais c’est trop mou.
MERLIN,Bah oui…
ARTHUR,Ah bon. Vous en sortez ?
MERLIN,Non plus.
MERLIN,Non mais Élias va sûrement pas tarder !
MERLIN,Mais je les ai pas perdues ! C’est Élias qui les a !
ARTHUR,Comment ça ?
MERLIN,Les siennes et les miennes.
ARTHUR,Non mais j'ai compris mais comment ça se fait ?
MERLIN,Ça s’est mal goupillé…
ARTHUR,Quoi ? Mais qu’est-ce que c’est que cette histoire ?
ARTHUR,Non mais qu'est-ce que c’est que ce cirque ? Je vous rappelle que vous étiez censé collaborer !
AELIS,En collaborant avec ça ?
AELIS,Voilà.
AELIS,Ça dépend quoi.
ARTHUR,C’est une Potion de Guérison des Plaies ?
ARTHUR,De la bile de renard ? Qu’est-ce que vous voulez que je foute de ça ?
AELIS,On a fait comme vous avez dit : on s’est partagé les tâches. Pour la Potion de Guérison des
ARTHUR,Eh ben ?
MERLIN,Je sais pas ce qui s’est passé ! Il y a dû y avoir un problème au moment où j’ai mis le feu !
ARTHUR,Mais ça me sert à quelque chose ?
MERLIN,De quoi ?
ARTHUR,Je dis que vous allez devenir une légende !
ANGHARAD,C’est vraiment gentil de m’accorder quelques instants. Je sais que vous êtes très occupé.
PERCEVAL,Ah bon ? Qui c’est qui vous a dit ça ?
ANGHARAD,Je me trompe ?
ANGHARAD,Ah bon ?
ANGHARAD,Si vous le dites…
ANGHARAD,J'y veillerai…
ARTHUR,Comme vous voulez.
ANGHARAD,J'espère que vous ne me trouverez pas cavalière…
ANGHARAD,Comment ?
ARTHUR,Vous lui avez pas dit ça ?
ARTHUR,Impertinent.
PERCEVAL,Non mais même pas ! C'est ça le pire ! Elle avait un truc hyper important à me dire alors elle écoutait pas le reste !
PERCEVAL,Ah !
ANGHARAD,Vous comprenez ?
PERCEVAL,Non.
PERCEVAL,Ouais ?
ANGHARAD,Je reste servante.
PERCEVAL,C'est-à-dire ?
ARTHUR,C’est vous qui avez parlé d’être honnête…
ARTHUR,Pas que ! Elle a certainement des tas de raisons de vouloir vous épouser ! Je vous cacherai pas que ça reste un mystère pour moi mais… Ça doit faire partie d'un tout.
GUENIÈVRE,Parce qu’il faut faire quelque chose de spécial ?
TUMET,Avec Arthur…
GUENIÈVRE,Ah… ben… il me semble…
AZILIZ,Comment on fait quoi ? Les enfants ?
AELIS,I leu… ben c’est un peu délicat à expliquer…
TUMET,Ben si !
GUENIÈVRE,Gaffe de pas l’être ? Parce qu’on peut faire ça ?
GUENIÈVRE,Technique ?
TUMET,Vous dites juste ce qui se passe en-dessous des hanches et au-dessus des genoux.
GUENIÈVRE,J’en était sûre que c’était par là que ça se passait !
AELIS,Et vous avez connu qu’Arthur ?
TUMET,Et ça ferait pas dix ans qu’on attendrait l’héritier !
AELIS,On n’est pas là pour ça !
TUMET,Mais c’est pas à nous d’expliquer ça !
GUENIÈVRE,Mais c’est écœurant !
AZILIZ,Écœurant ? Pourquoi écœurant ?
GUENIÈVRE,Mais… Mais c’est comme les chiens !
TUMET,Super…
AZILIZ,Ouais…
AELIS,La descendance est assurée.
AELIS,Même pas une fois ! Si les gens savaient ça !
AZILIZ,Vous avez même pas essayé une fois de faire un effort ?
ARTHUR,Mais pourquoi ils ont rien ramené ?
LANCELOT,Qu'est-ce qu’il faut dire d’autre ?
ARTHUR,J’en ai marre. Mais marre ! Qu’est-ce qui s’est passé ?
LANCELOT,Mais rien !
ARTHUR,Alors quoi ?
ARTHUR,C’est trop dur !
ARTHUR,De quoi « éradiquer » ?
ARTHUR,Je croyais qu’il y avait personne…
ARTHUR,Ils ont fui devant ça ?
ARTHUR,Mais ils ont fui devant quoi ?
ARTHUR,Tout droit et puis ?
ARTHUR,Alors ? Qu’est-ce que je fais ?
DEMETRA,J’adore l’automne… Ça me donne toujours envie de réciter des poèmes…
ARTHUR,Vous allez pas le faire !
YVAIN,Sire ! Sire !
YVAIN,J’adore ces arrivées…
ARTHUR,De quoi ?
YVAIN,Mon père veut vous voir.
ARTHUR,Non.
DEMETRA,C'est peut-être important…
ARTHUR,Mais il arrête jamais de crier ! Si je devais prendre des coups de sang à chaque fois !
YVAIN,Alors je lui dis que c’est bon ? Je lui donne votre accord ?
ARTHUR,Mon accord ? Mon accord sur quoi ?
YVAIN,Ben je crois qu’il veut démolir la grande porte.
ARTHUR,Démolir la grande porte ? Où il est ?
YVAIN,À la grande porte…
ARTHUR,Quel rapport avec la porte ?
LÉODAGAN,J’ai fait venir un micheton de Rome pour faire construire une baliste !
ARTHUR,Mais où ça ?
ARTHUR,Crac quoi ?
ARTHUR,Quoi ? Mais vous êtes complètement con !
LÉODAGAN,Alors vous allez me faire le plaisir de péter cette saloperie que je puisse sortir la machine !
ARTHUR,Péter la porte ? Non mais vous êtes pas bien !
LÉODAGAN,Au moins la remonter !
ARTHUR,Mais la remonter de combien ?
LÉODAGAN,Trente-cinq pieds.
ARTHUR,Trente-cinq pieds ?
LÉODAGAN,On va pas rester avec une baliste en plein milieu de la cour ! Ne soyez pas con !
LÉODAGAN,Je vais pas faire une baliste qui m’arrive sous les genoux pour vous faire plaisir ! C’est des tailles standard !
ARTHUR,Peut-être ! Il y en a qui le font !
ARTHUR,Vous n’avez qu'à les entraîner à tirer par-dessus la porte ! Démerdez-vous !
LÉODAGAN,Vous êtes quand même pas arrangeant…
ARTHUR,Où on en était ?
